subject,target,mean,sd,method,db
9,17,0.307728707935472,0.0889378060432492,Euclidean,JASPAR2018_CORE
10,17,0.312413380689433,0.087422113435872,Euclidean,JASPAR2018_CORE
11,17,0.312530691561119,0.0890686228182508,Euclidean,JASPAR2018_CORE
12,17,0.311577017953838,0.0908942087281603,Euclidean,JASPAR2018_CORE
13,17,0.313896534255919,0.0890977858484882,Euclidean,JASPAR2018_CORE
14,17,0.31431031411625,0.0885589864909309,Euclidean,JASPAR2018_CORE
15,17,0.313486731478953,0.0877170571354432,Euclidean,JASPAR2018_CORE
16,17,0.309377485906079,0.090702556063056,Euclidean,JASPAR2018_CORE
17,17,0.313858641819339,0.0912294416144991,Euclidean,JASPAR2018_CORE
18,17,0.311023724964027,0.0885514376845717,Euclidean,JASPAR2018_CORE
19,17,0.313441724638029,0.0881647843310818,Euclidean,JASPAR2018_CORE
20,17,0.311943007416755,0.0890288776543771,Euclidean,JASPAR2018_CORE
21,17,0.311569668088673,0.0895696853425859,Euclidean,JASPAR2018_CORE
22,17,0.310609891329059,0.0879495486910838,Euclidean,JASPAR2018_CORE
23,17,0.314006678033308,0.0853163610718295,Euclidean,JASPAR2018_CORE
24,17,0.314475732223899,0.0876308268087738,Euclidean,JASPAR2018_CORE
25,17,0.310283769111389,0.0886010411263581,Euclidean,JASPAR2018_CORE
26,17,0.312393992057773,0.0878548033455651,Euclidean,JASPAR2018_CORE
27,17,0.311014787275964,0.0878492822058986,Euclidean,JASPAR2018_CORE
28,17,0.312062454262107,0.0884640378280616,Euclidean,JASPAR2018_CORE
29,17,0.315271371893146,0.0868540321734338,Euclidean,JASPAR2018_CORE
30,17,0.310540970520505,0.0898733435703597,Euclidean,JASPAR2018_CORE
5,18,0.307067611638629,0.0915602402622416,Euclidean,JASPAR2018_CORE
6,18,0.332744865079775,0.0866089570955284,Euclidean,JASPAR2018_CORE
7,18,0.332527053593055,0.0829143847154985,Euclidean,JASPAR2018_CORE
8,18,0.339812319747522,0.0804178215619305,Euclidean,JASPAR2018_CORE
9,18,0.33440051214971,0.0821307119330588,Euclidean,JASPAR2018_CORE
10,18,0.339957765125203,0.0749629811866688,Euclidean,JASPAR2018_CORE
11,18,0.341957642645647,0.0742559333354335,Euclidean,JASPAR2018_CORE
12,18,0.339961049989717,0.0769454729937537,Euclidean,JASPAR2018_CORE
13,18,0.338712283923099,0.0756705744458018,Euclidean,JASPAR2018_CORE
14,18,0.340650354755488,0.0747156112265143,Euclidean,JASPAR2018_CORE
15,18,0.339416422695913,0.0740673442300943,Euclidean,JASPAR2018_CORE
16,18,0.340194865840583,0.0744848801466617,Euclidean,JASPAR2018_CORE
17,18,0.337524159019045,0.0739693160396452,Euclidean,JASPAR2018_CORE
18,18,0.343575699270531,0.0878259223662684,Euclidean,JASPAR2018_CORE
19,18,0.339953750661623,0.0734293868058232,Euclidean,JASPAR2018_CORE
20,18,0.338296007475373,0.0742665974603835,Euclidean,JASPAR2018_CORE
21,18,0.338180235095066,0.0749522365040281,Euclidean,JASPAR2018_CORE
22,18,0.335499284863381,0.0749754180268426,Euclidean,JASPAR2018_CORE
23,18,0.340095643800007,0.0731232306446824,Euclidean,JASPAR2018_CORE
24,18,0.33908635967327,0.0735249950859647,Euclidean,JASPAR2018_CORE
